time,x,y,z,abs,Action
2.39,-1.57,-0.381,-0.155,1.62,
2.4,-1.52,-0.342,-0.284,1.58,
2.41,-1.44,-0.312,-0.447,1.54,
2.42,-1.36,-0.274,-0.576,1.5,
2.43,-1.29,-0.188,-0.64,1.45,
2.44,-1.25,-0.0434,-0.679,1.43,
2.45,-1.25,0.115,-0.701,1.44,
2.46,-1.26,0.288,-0.693,1.47,
2.47,-1.27,0.478,-0.622,1.5,
2.48,-1.28,0.624,-0.544,1.53,
2.49,-1.27,0.731,-0.462,1.54,
2.5,-1.27,0.802,-0.451,1.56,
2.51,-1.22,0.841,-0.419,1.54,
2.52,-1.17,0.848,-0.359,1.49,
2.53,-1.07,0.742,-0.338,1.34,
2.54,-0.909,0.525,-0.365,1.11,
2.55,-0.683,0.192,-0.402,0.816,
2.56,-0.454,-0.142,-0.418,0.634,
2.57,-0.258,-0.452,-0.467,0.699,
2.58,-0.0707,-0.743,-0.494,0.895,
2.59,0.0766,-0.965,-0.466,1.07,
2.6,0.167,-1.11,-0.448,1.21,
2.61,0.219,-1.12,-0.406,1.22,
2.62,0.263,-1.0,-0.285,1.07,
2.63,0.285,-0.804,-0.225,0.882,
2.64,0.341,-0.672,-0.176,0.774,
2.65,0.505,-0.798,-0.0744,0.947,
2.66,0.787,-1.32,0.043,1.54,
2.67,1.1,-2.05,0.164,2.33,
2.68,1.39,-2.69,0.252,3.04,
2.69,1.58,-3.15,0.301,3.53,
2.7,1.64,-3.45,0.394,3.84,
2.71,1.54,-3.49,0.524,3.85,
2.72,1.35,-3.26,0.678,3.6,
2.73,1.09,-2.8,0.859,3.12,
2.74,0.796,-2.19,1.07,2.57,
2.75,0.493,-1.51,1.32,2.06,
2.76,0.108,-0.768,1.5,1.69,
2.77,-0.24,-0.0327,1.67,1.69,
2.78,-0.462,0.575,1.78,1.93,
2.79,-0.652,1.02,1.78,2.15,
2.8,-0.813,1.31,1.59,2.21,
2.81,-0.951,1.4,1.24,2.1,
2.82,-1.07,1.33,0.73,1.85,
2.83,-1.14,1.08,0.175,1.58,
2.84,-1.16,0.693,-0.318,1.39,
2.85,-1.14,0.235,-0.727,1.38,
2.86,-1.17,-0.174,-1.17,1.66,
2.87,-1.23,-0.462,-1.63,2.09,
2.88,-1.34,-0.684,-1.94,2.46,
2.89,-1.5,-0.817,-2.04,2.66,
2.9,-1.6,-0.878,-2.06,2.75,
2.91,-1.66,-0.869,-2.03,2.76,
2.92,-1.7,-0.78,-1.86,2.64,
2.93,-1.66,-0.639,-1.51,2.33,
2.94,-1.55,-0.501,-1.02,1.92,
2.95,-1.42,-0.317,-0.628,1.58,
2.96,-1.37,-0.0279,-0.469,1.45,
2.97,-1.3,0.282,-0.346,1.37,
2.98,-1.18,0.58,-0.224,1.33,
2.99,-1.01,0.817,-0.234,1.32,
3.0,-0.717,1.03,-0.324,1.3,
3.01,-0.342,1.15,-0.218,1.22,
3.02,0.0893,1.14,0.00577,1.14,
3.03,0.465,1.06,0.12,1.17,
3.04,0.827,0.958,0.166,1.28,
3.05,1.15,0.866,0.141,1.45,
3.06,1.41,0.759,0.0701,1.61,
3.07,1.59,0.718,0.0485,1.75,
3.08,1.68,0.736,0.0305,1.83,
3.09,1.67,0.803,-0.0331,1.85,
3.1,1.64,0.91,-0.0725,1.88,
3.11,1.54,1.09,-0.12,1.89,
3.12,1.39,1.26,-0.148,1.89,
3.13,1.29,1.45,-0.0622,1.94,
3.14,1.15,1.67,0.0239,2.03,
3.15,1.03,1.79,0.0549,2.07,
3.16,0.979,1.87,0.113,2.11,
3.17,0.981,1.84,0.175,2.1,
3.18,1.04,1.72,0.176,2.02,
3.19,1.14,1.55,0.136,1.93,
3.2,1.22,1.36,0.109,1.83,
3.21,1.26,1.18,0.0718,1.73,
3.22,1.3,1.03,0.0253,1.66,
3.23,1.31,0.89,-0.0646,1.59,
3.24,1.32,0.763,-0.0994,1.53,
3.25,1.3,0.684,-0.0556,1.47,
3.26,1.24,0.688,-0.0119,1.42,
3.27,1.19,0.725,0.103,1.4,
3.28,1.19,0.764,0.264,1.44,
3.29,1.21,0.777,0.402,1.49,
3.3,1.39,0.616,0.502,1.6,
3.31,1.72,0.142,0.521,1.8,
3.32,2.08,-0.443,0.489,2.19,
3.33,2.43,-1.0,0.448,2.67,
3.34,2.82,-1.54,0.37,3.23,
3.35,3.17,-2.02,0.318,3.77,
3.36,3.39,-2.32,0.285,4.12,
3.37,3.53,-2.34,0.283,4.24,
3.38,3.53,-1.99,0.351,4.07,
3.39,3.38,-1.24,0.506,3.64,
3.4,3.13,-0.311,0.656,3.21,
3.41,2.77,0.607,0.624,2.9,
3.42,2.4,1.39,0.617,2.84,
3.43,2.03,2.0,0.634,2.92,
3.44,1.71,2.33,0.585,2.95,
3.45,1.49,2.3,0.539,2.79,
3.46,1.35,1.93,0.441,2.39,
3.47,1.12,1.38,0.179,1.78,
3.49,0.891,0.715,-0.0862,1.15,
3.5,0.719,0.0569,-0.213,0.752,
3.51,0.52,-0.533,-0.395,0.842,
3.52,0.303,-1.03,-0.579,1.22,
3.53,0.00524,-1.31,-0.675,1.47,
3.54,-0.369,-1.4,-0.728,1.62,
3.55,-0.782,-1.41,-0.747,1.78,
3.56,-1.11,-1.45,-0.703,1.96,
3.57,-1.34,-1.51,-0.569,2.1,
3.58,-1.45,-1.66,-0.404,2.24,
3.59,-1.45,-1.82,-0.266,2.34,
3.6,-1.45,-1.93,-0.185,2.42,
3.61,-1.5,-1.91,-0.206,2.44,
3.62,-1.54,-1.78,-0.277,2.37,
3.63,-1.61,-1.59,-0.44,2.3,
3.64,-1.67,-1.44,-0.602,2.29,
3.65,-1.74,-1.31,-0.697,2.28,
3.66,-1.79,-1.14,-0.764,2.26,
3.67,-1.85,-1.02,-0.825,2.26,
3.68,-1.89,-0.959,-0.884,2.3,
3.69,-1.96,-0.929,-0.844,2.32,
3.7,-2.06,-0.913,-0.792,2.39,
3.71,-2.19,-0.921,-0.846,2.52,
3.72,-2.3,-0.945,-0.847,2.63,
3.73,-2.39,-0.997,-0.775,2.7,
3.74,-2.43,-1.08,-0.741,2.76,
3.75,-2.5,-1.14,-0.694,2.83,
3.76,-2.56,-1.13,-0.629,2.87,
3.77,-2.63,-1.09,-0.57,2.91,
3.78,-2.68,-1.05,-0.545,2.93,
3.79,-2.71,-0.975,-0.507,2.93,
3.8,-2.77,-0.852,-0.484,2.94,
3.81,-2.81,-0.723,-0.442,2.94,
3.82,-2.82,-0.587,-0.379,2.9,
3.83,-2.82,-0.458,-0.369,2.88,
3.84,-2.8,-0.365,-0.403,2.85,
3.85,-2.74,-0.339,-0.425,2.79,
3.86,-2.61,-0.424,-0.462,2.68,
3.87,-2.43,-0.604,-0.552,2.57,
3.88,-2.24,-0.865,-0.64,2.48,
3.89,-2.07,-1.14,-0.679,2.45,
3.9,-1.95,-1.36,-0.683,2.47,
3.91,-1.78,-1.54,-0.673,2.45,
3.92,-1.62,-1.6,-0.65,2.37,
3.93,-1.49,-1.55,-0.621,2.24,
3.94,-1.4,-1.39,-0.561,2.05,
3.95,-1.27,-1.17,-0.506,1.8,
3.96,-1.1,-0.957,-0.494,1.54,
3.97,-0.906,-0.736,-0.568,1.3,
3.98,-0.712,-0.546,-0.631,1.1,
3.99,-0.51,-0.399,-0.673,0.934,
4.0,-0.226,-0.411,-0.679,0.825,
4.01,0.182,-0.745,-0.67,1.02,
4.02,0.666,-1.42,-0.673,1.71,
4.03,1.11,-2.24,-0.616,2.58,
4.04,1.45,-3.03,-0.528,3.4,
4.05,1.71,-3.72,-0.313,4.1,
4.06,1.93,-4.25,0.0177,4.66,
4.07,1.97,-4.56,0.391,4.99,
4.08,1.82,-4.52,0.812,4.94,
4.09,1.54,-4.03,1.23,4.49,
4.1,1.24,-3.26,1.65,3.86,
4.11,1.03,-2.41,2.02,3.31,
4.12,0.843,-1.52,2.18,2.78,
4.13,0.65,-0.565,2.16,2.33,
4.14,0.483,0.309,2.03,2.11,
4.15,0.324,1.07,1.72,2.06,
4.16,0.17,1.64,1.38,2.15,
4.17,0.0123,1.99,1.03,2.24,
4.18,-0.0843,2.04,0.609,2.13,
4.19,-0.196,1.84,0.17,1.86,
4.2,-0.324,1.49,-0.275,1.55,
4.21,-0.377,1.03,-0.638,1.27,
4.22,-0.419,0.525,-0.889,1.11,
4.23,-0.489,0.0599,-1.11,1.22,
4.24,-0.6,-0.335,-1.32,1.49,
4.25,-0.737,-0.654,-1.49,1.79,
4.26,-0.875,-0.815,-1.62,2.02,
4.27,-1.06,-0.84,-1.62,2.11,
4.28,-1.24,-0.782,-1.51,2.1,
4.29,-1.43,-0.689,-1.34,2.08,
4.3,-1.59,-0.568,-1.06,2.0,
4.31,-1.7,-0.467,-0.686,1.89,
4.32,-1.71,-0.421,-0.332,1.79,
4.33,-1.68,-0.414,0.0306,1.73,
4.34,-1.63,-0.425,0.397,1.73,
4.35,-1.52,-0.485,0.704,1.74,
4.36,-1.38,-0.597,0.9,1.75,
4.37,-1.27,-0.578,1.03,1.73,
4.38,-1.19,-0.496,1.15,1.73,
4.39,-1.13,-0.398,1.24,1.72,
4.4,-1.1,-0.315,1.17,1.64,
4.41,-1.07,-0.259,1.06,1.52,
4.42,-1.02,-0.182,0.942,1.4,
4.43,-0.956,-0.103,0.865,1.29,
4.44,-0.841,-0.0478,0.762,1.14,
4.45,-0.691,0.0107,0.632,0.936,
4.46,-0.509,0.0774,0.505,0.721,
4.47,-0.335,0.225,0.382,0.556,
4.48,-0.259,0.482,0.138,0.565,
4.49,-0.226,0.768,-0.155,0.816,
4.5,-0.156,1.02,-0.422,1.12,
4.51,-0.113,1.34,-0.637,1.49,
4.52,-0.0735,1.66,-0.784,1.84,
4.53,-0.0456,1.89,-0.92,2.1,
4.54,0.0459,2.01,-1.05,2.26,
4.55,0.231,1.97,-1.06,2.25,
4.56,0.404,1.94,-0.959,2.2,
4.57,0.596,1.89,-0.954,2.2,
4.58,0.931,1.76,-0.814,2.15,
4.59,1.22,1.51,-0.611,2.04,
4.6,1.45,1.18,-0.483,1.93,
4.61,1.66,0.813,-0.422,1.9,
4.62,1.87,0.432,-0.389,1.96,
4.63,2.03,0.0739,-0.329,2.06,
4.64,2.12,-0.225,-0.313,2.16,
4.65,2.23,-0.605,-0.338,2.34,
4.66,2.4,-1.18,-0.225,2.69,
4.67,2.59,-1.77,-0.0252,3.13,
4.68,2.76,-2.19,0.165,3.53,
4.69,2.89,-2.49,0.37,3.83,
4.7,3.06,-2.74,0.546,4.14,
4.71,3.13,-2.7,0.713,4.2,
4.72,3.05,-2.24,0.876,3.89,
4.73,2.8,-1.48,0.982,3.32,
4.74,2.4,-0.587,1.02,2.67,
4.75,1.94,0.252,0.922,2.16,
4.76,1.49,0.999,0.744,1.94,
4.77,1.07,1.58,0.551,1.99,
4.78,0.735,1.88,0.395,2.06,
4.79,0.431,1.96,0.27,2.02,
4.8,0.0955,1.86,0.0718,1.86,
4.81,-0.129,1.47,-0.0201,1.48,
4.82,-0.209,0.938,0.0476,0.962,
4.83,-0.283,0.377,0.0372,0.473,
4.84,-0.265,-0.303,-0.0128,0.402,
4.85,-0.111,-1.11,-0.0621,1.11,
4.86,0.0807,-1.95,-0.0454,1.96,
4.87,0.241,-2.69,0.0373,2.7,
4.88,0.267,-3.16,0.11,3.18,
4.89,0.196,-3.41,0.241,3.42,
4.9,-0.00844,-3.44,0.345,3.45,
4.91,-0.242,-3.36,0.336,3.38,
4.92,-0.524,-3.23,0.242,3.28,
4.93,-0.851,-3.04,0.0681,3.16,
4.94,-1.21,-2.87,-0.21,3.12,
4.95,-1.58,-2.68,-0.463,3.15,
4.96,-1.87,-2.51,-0.626,3.19,
4.97,-2.09,-2.43,-0.819,3.31,
4.98,-2.33,-2.36,-1.04,3.47,
4.99,-2.57,-2.16,-1.25,3.58,
5.0,-2.81,-1.9,-1.51,3.71,
5.01,-3.0,-1.62,-1.71,3.82,
5.02,-3.11,-1.39,-1.88,3.89,
5.03,-3.13,-1.23,-2.07,3.95,
5.04,-3.14,-1.13,-2.19,3.99,
5.05,-3.16,-1.07,-2.21,4.01,
5.06,-3.15,-1.03,-2.29,4.03,
5.07,-3.1,-1.01,-2.37,4.03,
5.08,-3.05,-1.02,-2.38,4.0,
5.09,-3.02,-1.03,-2.36,3.97,
5.1,-3.03,-0.983,-2.28,3.92,
5.11,-3.04,-0.932,-2.13,3.83,
5.12,-3.03,-0.897,-1.94,3.71,
5.13,-3.0,-0.905,-1.73,3.58,
5.14,-2.99,-0.923,-1.46,3.45,
5.15,-2.98,-0.957,-1.21,3.36,
5.16,-2.93,-1.04,-0.963,3.25,
5.17,-2.82,-1.19,-0.695,3.14,
5.18,-2.68,-1.33,-0.447,3.03,
5.19,-2.54,-1.37,-0.289,2.9,
5.2,-2.41,-1.3,-0.16,2.75,
5.21,-2.32,-1.19,-0.0468,2.61,
5.22,-2.28,-1.04,-0.00429,2.51,
5.23,-2.22,-0.895,0.0643,2.4,
5.24,-2.11,-0.807,0.148,2.26,
5.25,-1.91,-0.863,0.217,2.1,
5.26,-1.51,-1.14,0.376,1.92,
5.27,-0.919,-1.62,0.658,1.98,
5.28,-0.336,-2.15,0.934,2.37,
5.29,0.133,-2.42,1.15,2.69,
5.3,0.4,-2.28,1.23,2.62,
5.31,0.492,-1.96,1.12,2.31,
5.32,0.503,-1.62,0.948,1.94,
5.33,0.498,-1.27,0.848,1.61,
5.34,0.465,-0.934,0.778,1.3,
5.35,0.405,-0.667,0.711,1.06,
5.36,0.338,-0.523,0.701,0.938,
5.37,0.268,-0.542,0.643,0.883,
5.38,0.224,-0.733,0.602,0.975,
5.39,0.222,-1.01,0.67,1.23,
5.4,0.205,-1.3,0.693,1.49,
5.41,0.172,-1.53,0.65,1.67,
5.42,0.0844,-1.59,0.583,1.7,
5.43,-0.0804,-1.47,0.513,1.55,
5.44,-0.309,-1.18,0.416,1.29,
5.45,-0.531,-0.812,0.317,1.02,
5.46,-0.742,-0.421,0.317,0.91,
5.47,-0.882,-0.0807,0.341,0.949,
5.48,-0.95,0.161,0.464,1.07,
5.49,-0.985,0.357,0.517,1.17,
5.5,-0.958,0.436,0.507,1.17,
5.51,-0.896,0.441,0.484,1.11,
5.52,-0.795,0.33,0.381,0.941,
5.53,-0.65,0.136,0.211,0.697,
5.54,-0.501,-0.0555,0.00386,0.504,
5.55,-0.45,-0.23,-0.196,0.542,
5.56,-0.403,-0.428,-0.401,0.712,
5.57,-0.342,-0.609,-0.551,0.89,
5.58,-0.265,-0.705,-0.598,0.961,
5.59,-0.206,-0.722,-0.559,0.936,
5.6,-0.187,-0.686,-0.477,0.856,
5.61,-0.174,-0.587,-0.395,0.729,
5.62,-0.15,-0.462,-0.323,0.583,
5.63,-0.139,-0.315,-0.257,0.43,
5.64,-0.144,-0.17,-0.199,0.299,
5.65,-0.117,-0.098,-0.133,0.202,
5.66,-0.0856,-0.0731,-0.105,0.154,
5.67,-0.102,-0.0588,-0.0715,0.138,
5.68,-0.101,-0.0306,-0.0382,0.112,
5.69,-0.061,-0.0239,0.0476,0.081,
5.7,0.0144,-0.0245,0.137,0.14,
5.71,0.0332,0.033,0.112,0.122,
5.72,0.0168,0.141,-0.0102,0.142,
5.73,0.0156,0.22,-0.0926,0.239,
5.74,0.0431,0.332,-0.191,0.386,
5.75,0.07,0.446,-0.38,0.59,
5.76,0.132,0.517,-0.572,0.782,
5.77,0.236,0.532,-0.685,0.899,
5.78,0.368,0.534,-0.801,1.03,
5.79,0.471,0.569,-0.918,1.18,
5.8,0.559,0.655,-0.989,1.31,
5.81,0.618,0.768,-1.07,1.45,
5.82,0.67,0.897,-1.15,1.61,
5.83,0.713,1.06,-1.17,1.73,
5.84,0.716,1.22,-1.14,1.82,
5.85,0.705,1.35,-1.14,1.9,
5.86,0.697,1.41,-1.13,1.94,
5.87,0.698,1.47,-1.09,1.96,
5.88,0.676,1.5,-1.08,1.97,
5.89,0.667,1.49,-1.06,1.95,
5.9,0.675,1.42,-1.05,1.89,
5.91,0.688,1.29,-1.03,1.78,
5.92,0.696,1.15,-1.03,1.69,
5.93,0.74,1.05,-0.997,1.63,
5.94,0.761,0.958,-1.04,1.61,
5.95,0.84,0.786,-1.05,1.55,
5.96,0.967,0.467,-0.889,1.39,
5.97,1.13,-0.0222,-0.639,1.3,
5.98,1.38,-0.663,-0.425,1.59,
5.99,1.65,-1.32,-0.254,2.13,
6.0,1.97,-1.88,-0.0558,2.72,
6.01,2.29,-2.29,0.075,3.24,
6.02,2.52,-2.46,0.159,3.52,
6.03,2.64,-2.25,0.286,3.48,
6.04,2.65,-1.67,0.466,3.16,
6.05,2.55,-0.891,0.658,2.78,
6.06,2.35,-0.053,0.806,2.48,
6.07,2.1,0.716,0.843,2.38,
6.08,1.94,1.34,0.849,2.51,
6.09,1.83,1.84,0.781,2.71,
6.1,1.82,2.16,0.577,2.88,
